-1.102,-0.968,-0.831,-1.119,-1.703,-0.853,-1.478,-0.26,-0.541,-1.94,-0.105,-0.549,-2.397,-1.625,-0.591,-1.615,-1.441,-0.622,-0.305,-1.098,-0.642,-3.166,-0.282,-1.436,0.28,-0.508,-0.506,0.095,-0.713,-1.014,-1.225,-0.604,-0.34,-0.657,0.075,-1.281,1
-0.785,-0.803,-0.759,-0.981,-1.565,-0.582,-1.401,-0.236,-0.432,-1.384,0.036,-0.109,-2.05,-1.69,-0.334,-1.273,-1.272,-0.415,-0.463,-0.61,-0.763,-0.961,-0.204,-0.812,0.725,-0.2,-0.513,0.148,-0.57,-0.542,-0.93,-0.575,-0.365,-0.553,0.137,-1.545,1
-0.86,-0.795,-0.787,-1.079,-1.614,-0.601,-1.444,-0.179,-0.39,-1.361,-0.029,-0.099,-2.045,-1.756,-0.422,-1.368,-1.335,-0.392,0.099,-0.606,-0.795,-0.976,-0.224,-0.946,0.631,-0.236,-0.623,0.052,-0.707,-0.654,-0.988,-0.686,-0.392,-0.495,0.164,-1.118,1
-0.914,-0.938,-1.089,-1.164,-1.821,-0.811,-1.591,-0.408,-0.507,-1.774,0.003,-0.592,-2.457,-1.696,-0.496,-1.562,-1.524,-0.908,-0.104,-0.97,-0.877,-1.281,-0.407,-1.231,0.009,-0.573,-0.667,0.027,-0.748,-0.888,-0.777,-0.789,-0.392,-0.731,-0.129,-0.938,1
-0.817,-0.858,-0.746,-0.979,-1.536,-0.565,-1.472,-0.302,-0.406,-1.252,0.036,-0.164,-2.025,-1.669,-0.493,-1.322,-1.414,-0.38,0.163,-0.556,-0.668,-0.804,-0.34,-0.85,0.279,-0.228,-0.663,-0.105,-0.691,-0.51,-1.085,-0.71,-0.247,-0.337,0.171,-0.964,1
-1.095,-0.992,-0.83,-1.137,-1.66,-0.768,-1.67,-0.405,-0.473,-1.509,-0.092,-0.562,-2.353,-1.51,-0.613,-1.305,-1.621,-0.518,0.022,-0.935,-0.668,-1.109,-0.39,-1.036,0.012,-0.473,-0.642,-0.065,-0.674,-0.809,-1.024,-0.94,-0.513,-0.779,-0.076,-0.94,1
-0.835,-0.849,-0.666,-0.959,-1.577,-0.456,-1.43,-0.057,-0.293,-1.223,-0.202,-0.172,-2.031,-1.478,-0.413,-1.192,-1.591,-0.38,0.288,-0.519,-0.765,-0.628,-0.34,-0.886,0.124,-0.274,-0.653,0.086,-0.612,-0.551,-0.946,-0.694,-0.308,-0.461,0.154,-0.964,1
-0.958,-1.008,-0.784,-0.901,-1.819,-0.724,-1.72,-0.355,-0.462,-1.281,-0.132,-0.407,-2.351,-1.468,-0.424,-1.262,-1.603,-0.724,-1.104,-0.905,-0.776,-0.673,-0.446,-0.843,0.16,-0.509,-0.603,-0.085,-0.749,-0.678,-1.085,-1.017,-0.468,-0.696,-0.075,-0.904,1
-0.883,-0.899,-0.62,-0.889,-1.573,-0.597,-1.327,-0.183,-0.234,-1.257,-0.064,-0.334,-2.088,-1.466,-0.387,-1.067,-1.357,-0.299,0.296,-0.452,-0.572,-0.613,-0.442,-0.86,-0.033,-0.216,-0.575,-0.064,-0.594,-0.456,-0.964,-0.716,-0.283,-0.378,0.134,-0.888,1
-1.528,-1.841,-1.44,-2.954,-2.898,-2.516,-2.245,-1.28,-1.851,-1.491,-0.677,-1.88,-3.338,-1.063,-3.829,-1.729,-2.53,-1.192,-3.166,-3.216,-2.255,-1.367,-1.058,-2.072,-0.141,-2.949,-1.322,-1.863,-1.792,-2.088,-1.902,-1.412,-2.581,-2.033,-1.272,-1.992,2
